Key,Description,en,korean
ButtonPrevious_746534,VR Interactable,Previous Page,이전 페이지
ButtonNext_743488,VR Interactable,Next Page,다음 페이지
Title (1)_741416,UI Text,"Loading 
steam workshop
missions","로딩
스팀 워크샵
임무 목록"
Name_742760,UI Text,Error,오류
ErrorOkayButton_976098,VR Interactable,Okay,확인
Title_-645276,UI Text,"Select Campaign
","캠페인 선택
"
NextButton_-645330,VR Interactable,Next Campaign,다음 캠페인
PrevButton_-645328,VR Interactable,Previous Campaign,이전 캠페인
SelectButton_516578,VR Interactable,Select Campaign,캠페인 선택
BackButton_-645324,VR Interactable,Back to Vehicles,기체 선택으로 돌아가기
Text_732522,UI Text,"The Island
","섬
"
Text_732678,UI Text,Custom Campaigns,커스텀 캠페인
ResetButton_-645338,VR Interactable,Reset Campaign,캠페인 초기화
Text_-645444,UI Text,"Reset
Progress","진행상황
초기화"
description_-645446,UI Text,Are you sure you want to reset progress on this campaign?,정말로 이 캠페인의 진행 상황을 초기화 하시겠습니까?
Text_-645584,UI Text,Reset,초기화
Text_-645592,UI Text,Cancel,취소
Title (1)_740090,UI Text,"Loading 
Campaigns & missions...","로딩
캠페인과 미션"
Text_-645730,UI Text,No missions found,아무 미션도 찾지 못했습니다.
Title_-645562,UI Text,Select mission,임무 선택
CompletedObject_-645176,UI Text,Completed,완료
GrantedBudget_-645910,UI Text,Granted Budget: $500,$500의 예산을 부여받음
RTrainingTitle_-645174,UI Text,"Recommended Training: ","추천 훈련: "
Text_-645912,UI Text,FULL VERSION ONLY,FULL VERSION ONLY
Text_-645908,UI Text,UNDER CONSTRUCTION,개발 중...
Text_-645892,UI Text,CUSTOM MAP MISSING,커스텀 지도 없음
NextButton_-645564,VR Interactable,Next Mission,다음 임무
PrevButton_-645598,VR Interactable,Previous Mission,이전 임무
SelectButton_-645578,VR Interactable,Select Mission,임무 선택
MissionsButton_-645568,VR Interactable,Missions,임무
Text_732526,UI Text,MISSIONS,임무
TrainingButton_-645594,VR Interactable,Training,훈련
Text_-645732,UI Text,TRAINING,훈련
BackButton_-645608,VR Interactable,Back to Campaigns,캠페인으로 돌아가기
triggerToSkip_-645838,UI Text,hold trigger to skip,건너뛰려면 트리거를 누르세요
titleText_-645888,UI Text,"New Training Mission: ","새로운 훈련 임무: "
MISSION BRIEFING_744042,UI Text,MISSION BRIEFING,임무 브리핑
NextNoteButton_743764,VR Interactable,Next Note,다음 노트
Text_742706,UI Text,Next,다음
PrevNoteButton_745262,VR Interactable,Previous Note,이전 노트
Text_744920,UI Text,Previous,이전
FlyButton_740588,VR Interactable,Fly Mission,출격 미션
Text_743562,UI Text,Configure,설정
Text_746416,UI Text,Customize Pilot,파일럿 커스터마이징
Label_740562,UI Text,suit,슈트
HueUpButton_742114,VR Interactable,Hue Right,색조 오른쪽
HueDownButton_744534,VR Interactable,Hue Left,색조 왼쪽
Label (1)_740254,UI Text,Hue,색상
SatUpButton_745496,VR Interactable,Saturation Up,채도 증가
SatDownButton_741692,VR Interactable,Saturation Down,채도 감소
Label (2)_741270,UI Text,Saturation,채도
ValUpButton_747676,VR Interactable,Value Up,명도 증가
ValDownButton_747772,VR Interactable,Value Down,명도 감소
Label (3)_740798,UI Text,Brightness,명도
Label_741936,UI Text,vest,조끼
Label_740984,UI Text,G-Suit,G - 슈트
Label_746928,UI Text,Straps,스트랩
Label_743676,UI Text,skin,피부색
AcceptButton_745474,VR Interactable,Accept Changes,변경사항 적용
Text_740032,UI Text,Accept,확인
Button_740788,VR Interactable,Interactable,상호작용 가능
DecrButton_746112,VR Interactable,Decrease,감소
IncrButton_743848,VR Interactable,Increase,증가
PrevSettingsPageButton_745814,VR Interactable,Prev Page,이전 페이지
ApplySettingsButton_740876,VR Interactable,Apply Settings,설정 적용
RevertSettingsButton_745510,VR Interactable,Revert Settings,설정 되돌리기
Text_744170,UI Text,Revert,되돌리기
Text_743510,UI Text,Close,닫기
BindingsButton_740066,VR Interactable,Open Bindings Menu,할당 메뉴열기
Text_746038,UI Text,Bindings,할당 목록
OpenWingmenButton_742898,VR Interactable,Wingman Voices,윙맨 목소리 목록
GameCat_692110,VR Interactable,Game,게임
ControlsCat_696240,VR Interactable,Controls,조작
AudioCat_692816,VR Interactable,Audio,음향
VideoCat_695570,VR Interactable,Video,비디오
MiscCat_691360,VR Interactable,Miscellaneous,기타
Text_691290,UI Text,Misc,기타
Image_746964,VR Interactable,Toggle Voice,목소리 켜고 끄기
SampleButton_741706,VR Interactable,Play Sample,샘플 재생
SettingsTitle_746874,UI Text,Input binding,입력키 할당
ActionLabel_743972,UI Text,Action,엑션
ControllerLabel_740058,UI Text,Controller,컨트롤러
AxisLabel_740550,UI Text,Axis,축
SelectCtrlr_744404,UI Text,Select a controller,컨트롤러 선택
BindingsButton_745912,VR Interactable,Bind,할당
Text_742080,UI Text,Bind,할당
NextCtrlrButton_745738,VR Interactable,Next Controller,다음 컨트롤러
PrevCtrlrButton_747542,VR Interactable,Previous Controller,이전 컨트롤러
TestLabel_744460,UI Text,Axis Test,축 테스트
ClearButton_744128,VR Interactable,Clear Binding,할당 초기화
Text_742294,UI Text,Clear,초기화
InvertButton_731022,VR Interactable,Invert Axis,축 반대로 설정
Text_724774,UI Text,Invert,반대로
Text_746160,UI Text,Apply,적용하기
Title_744764,UI Text,Launch Editor?,미션 편집기를 시작할까요?
Title (1)_740936,UI Text,The mission editor will run on your monitor.,미션 편집기가 모니터에서 시작됩니다.
OkayButton_742216,VR Interactable,Launch Editor,미션 편집기 시작
BackButton_507224,VR Interactable,Back to Main Menu,메인 메뉴로 돌아가기
Title (1)_740580,UI Text,The map editor will run on your monitor.,지도 편집기가 모니터에서 시작됩니다.
